EPA census code,Pesticide code,Pesticide name,CAS No.
1,10501,"Dicofol [1,1-Bis(chlorophenyl)-2,2,2-trichloroethanol]",00115-32-2
2,51501,Maleic Hydrazide,00123-33-1 
3,42002,"EDB [1,2-Ethylene dibromide]",00106-93-4 
4,82901,"Vancide TH [1,3,5-Triethylhexahydro-s-triazine]",07779-27-3
5,29001,Dichloropropene,00542-75-6 
7,17901,"Dowicil 75 [1-(3-Chloroallyl)-3,5,7-triaza-1-azoniaadamantanechloride]",04080-31-3
8,109901,Triadimefon,43121-43-3 
9,44901,Hexachlorophene (nabac),00070-30-4 
10,55004,Tetrachlorophene,01940-43-8 
11,55001,Dichlorophene,00097-23-4 
12,84001,Dichlorvos,00062-73-7 
13,102401,"Landrin-2 [2,3,5-trimethylphenylmethylcarbamate]",02686-99-9
14,82601,"Fenac [2,3,6-Trichlorophenylacetic acid]",00085-34-7 
14,( 1),Fenac Salts and Esters,( 1)
15,82001,"2,4,5-T [2,4,5-Trichlorophenoxyacetic acid]",00093-76-5
15,( 1),"2,4,5-T Salts and Esters",( 1)
16,30001,"2,4-D [2,4-Dichlorophenoxyacetic acid]",00094-75-7 
16,( 1),"2,4-D Salts and Esters",( 1)
17,30801,"2,4-DB [2,4-Dichlorophenoxybutyric acid]",00094-82-6
17,( 1),"2,4-DB Salts and Esters",( 1)
18,80811,"Anilazine [2,4-Dichloro-6-(o-chloroanilino)-s-triazine]",00101-05-3 
19,36001,Dinocap,39300-45-3 
20,31301,"Dichloran (2,6-dichloro-4-nitroaniline)",00099-30-9 
21,8707,Busan 90 [2-Bromo-4-hydroxyacetophenone],02491-38-5
22,15801,Mevinphos,07786-34-7 
23,39001,Sulfallate [2-chloroallyldiethyldithiocarbamate],00095-06-7
24,84101,Chlorfenvinphos,00470-90-6 
25,10010,Cyanazine,21725-46-2 
26,19101,Propachlor,01918-16-7
27,30501,MCPA [2-Methyl-4-chlorophenoxyacetic acid],00094-74-6
27,( 1),MCPA Salts and Esters,( 1)
28,99901,Octhilinone,26530-20-1 
29,67703,Pindone,00083-26-1 
30,31401,"Dichlorprop [2-(2,4-Dichlorophenoxy) propionic acid]",00120-36-5 
30,( 1),Dichlorprop Salts and Esters,( 1)
31,31501,MCPP [2-(2-Methyl-4-chlorophenoxy)propionic acid],00093-65-2 
31,( 1),MCPP Salts and Esters,( 1)
32,60101,Thiabendazole,00148-79-8 
33,80815,"Belclene 310 [2-(methylthio)-4-(ethylamino)-6-(1,2-dimethylamino)-s-triazine]",22936-75-0 
34,21201,Cloprop [2-(m-Chlorophenoxy)propionic acid],00101-10-0
34,( 1),Cloprop Salts and Esters,( 1)
35,35603,TCMTB [2-(Thiocyanomethylthio)benzothiazole],21564-17-0
36,99001,HAE [2-((Hydroxymethyl)amino) ethanol,34375-28-5
37,6770,Chlorophacinone,03691-35-8 
38,102401,"Landrin-1 [3,4,5-trimethylphenylmethylcarbamate]",02686-99-9 
39,101701,Pronamide,23950-58-5 
40,100501,Methiocarb,02032-65-7
41,28201,Propanil,00709-98-8 
42,107801,3-Iodo-2-propynyl butylcarbamate,55406-53-6 
43,86001,3-(a-Acetonylfurfuryl)-4-hydroxycoumarin [Coumafuryl],00117-52-2 
43,( 1),Coumafuryl Salts and Esters,( 1)
44,37507,"DNOC (4,6-dinitro-o-cresol)",00534-52-1
45,101101,Metribuzin,21087-64-9 
